SPAC17G6.16c	inviable
SPAC17G6.17	viable
SPAC17G8.01c	inviable
SPAC17G8.02	inviable
SPAC17G8.03c	inviable
SPAC17G8.04c	inviable
SPAC17G8.05	viable
SPAC17G8.06c	viable
SPAC17G8.07	viable
SPAC17G8.08c	viable
SPAC17G8.09	viable
SPAC17G8.10c	viable
SPAC17G8.11c	viable
SPAC17G8.12	condition-dependent
SPAC17G8.13c	viable
SPAC17G8.14c	viable
SPAC17G8.15	condition-dependent
SPAC17H9.01	viable
SPAC17H9.02	inviable
SPAC17H9.03c	viable
SPAC17H9.04c	viable
SPAC17H9.05	inviable
SPAC17H9.06c	viable
SPAC17H9.07	inviable
SPAC17H9.08	viable
SPAC17H9.09c	viable
SPAC17H9.10c	viable
SPAC17H9.11	viable
SPAC17H9.12c	viable
SPAC17H9.13c	viable
SPAC17H9.14c	viable
SPAC17H9.16	inviable
SPAC17H9.17c	inviable
SPAC17H9.18c	viable
SPAC17H9.19c	viable
SPAC17H9.20	inviable
SPAC1805.01c	viable
SPAC1805.02c	viable
SPAC1805.03c	viable
SPAC1805.04	viable
SPAC1805.05	viable
SPAC1805.06c	viable
SPAC1805.07c	viable
SPAC1805.08	viable
SPAC1805.09c	viable
SPAC1805.10	viable
SPAC1805.11c	viable
SPAC1805.12c	viable
SPAC1805.13	viable
SPAC1805.14	viable
SPAC1805.15c	viable
SPAC1805.16c	viable
SPAC1805.17	inviable
SPAC1805.18	unknown
SPAC1834.01	inviable
SPAC1834.02	inviable
SPAC1834.03c	viable
SPAC1834.04	viable
SPAC1834.05	viable
SPAC1834.06c	inviable
SPAC1834.07	viable
SPAC1834.08	viable
SPAC1834.09	viable
SPAC1834.10c	viable
SPAC1834.11c	inviable
SPAC1834.13	viable
SPAC1851.02	viable
SPAC1851.03	condition-dependent
SPAC1851.04c	viable
SPAC186.01	viable
SPAC186.02c	viable
SPAC186.03	viable
SPAC186.04c	unknown
SPAC186.05c	viable
SPAC186.06	viable
SPAC186.07c	viable
SPAC186.08c	viable
SPAC186.09	viable
SPAC18B11.02c	viable
SPAC18B11.03c	viable
SPAC18B11.04	viable
SPAC18B11.05	inviable
SPAC18B11.06	inviable
SPAC18B11.07c	viable
SPAC18B11.08c	viable
SPAC18B11.09c	viable
SPAC18B11.10	viable
SPAC18B11.11	condition-dependent
SPAC18G6.01c	viable
SPAC18G6.02c	viable
SPAC18G6.03	inviable
SPAC18G6.04c	viable
SPAC18G6.05c	viable
SPAC18G6.06	inviable
